COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,COMUNE,COMUNE_A,CC_UTS,Shape_Leng,Shape_Area
1,1,2,0,2,2033,002033,Casanova Elvo,,0,17603.3695898,16296500.5502
1,1,2,0,2,2041,002041,Cervatto,,0,12306.3523153,9541463.81183
1,1,2,0,2,2043,002043,Civiasco,,0,14598.1453994,7365552.35724
1,1,2,0,2,2045,002045,Collobiano,,0,18851.3089871,8790177.30013
1,1,2,0,2,2048,002048,Cravagliana,,0,33654.0212761,35110908.659
1,1,2,0,2,2057,002057,Fobello,,0,23133.8990742,28864560.1768
1,1,2,0,2,2078,002078,Mollia,,0,17581.1546506,13835225.7281
1,1,2,0,2,2097,002097,Piode,,0,17225.5034894,13368567.6991
1,1,2,0,2,2110,002110,Rassa,,0,25879.5743067,43689536.0986
1,1,2,0,2,2113,002113,Rimella,,0,22422.4609715,25822011.1388
1,1,2,0,2,2121,002121,Rossa,,0,18972.9951522,11595672.8048
1,1,2,0,2,2126,002126,Salasco,,0,18131.7793985,12062003.9424
1,1,2,0,2,2127,002127,Sali Vercellese,,0,12740.6409567,8988003.41562
1,1,2,0,2,2134,002134,Scopa,,0,19013.632859,22318859.8271
1,1,2,0,2,2166,002166,Vocca,,0,23022.2496099,20237190.1751
1,1,2,0,2,2170,002170,Alto Sermenza,,0,35812.0210763,60186895.9499
1,1,3,0,3,3042,003042,Castellazzo Novarese,,0,14330.9885089,11294058.6596
1,1,3,0,3,3090,003090,Mandello Vitta,,0,9894.17662573,5651376.53288
1,1,3,0,3,3164,003164,Vinzaglio,,0,17852.3424938,15852173.601
1,1,4,0,4,4001,004001,Acceglio,,0,54267.1876653,152082803.538
1,1,4,0,4,4002,004002,Aisone,,0,32882.03995,36862445.2943
1,1,4,0,4,4004,004004,Albaretto della Torre,,0,9453.79597361,4710835.89438
1,1,4,0,4,4005,004005,Alto,,0,13573.6949113,7854766.73039
1,1,4,0,4,4006,004006,Argentera,,0,39212.6048125,76042753.3429
1,1,4,0,4,4007,004007,Arguello,,0,10019.0035476,4679932.60267
1,1,4,0,4,4011,004011,Barbaresco,,0,12277.0064513,7752217.8379
1,1,4,0,4,4013,004013,Barolo,,0,10504.2328912,5894516.31722
1,1,4,0,4,4014,004014,Bastia Mondovì,,0,17171.3524425,12733459.792
1,1,4,0,4,4015,004015,Battifollo,,0,17066.2279103,10573186.9252
1,1,4,0,4,4017,004017,Bellino,,0,35390.9487611,61765441.0885
1,1,4,0,4,4018,004018,Belvedere Langhe,,0,10441.3815778,4958516.48634
1,1,4,0,4,4020,004020,Benevello,,0,10583.741127,5197573.32708
1,1,4,0,4,4021,004021,Bergolo,,0,7442.11525325,3330309.69955
1,1,4,0,4,4023,004023,Bonvicino,,0,11893.6539936,7266016.41582
1,1,4,0,4,4024,004024,Borgomale,,0,15232.642503,8289328.4506
1,1,4,0,4,4026,004026,Bosia,,0,9306.23621394,5631104.53222
1,1,4,0,4,4030,004030,Briaglia,,0,11769.9663613,6192124.08947
1,1,4,0,4,4031,004031,Briga Alta,,0,50611.7851469,51829234.5344
1,1,4,0,4,4032,004032,Brondello,,0,14583.119527,10400690.1495
1,1,4,0,4,4038,004038,Canosio,,0,35284.6994072,48341320.6707
1,1,4,0,4,4039,004039,Caprauna,,0,12901.4887323,11655179.5099
1,1,4,0,4,4044,004044,Cartignano,,0,17175.9145826,7118658.6458
1,1,4,0,4,4047,004047,Casteldelfino,,0,26043.4057574,33751392.637
1,1,4,0,4,4050,004050,Castelletto Uzzone,,0,17189.834644,15226381.9346
1,1,4,0,4,4052,004052,Castellino Tanaro,,0,13673.9726651,11266895.4641
1,1,4,0,4,4053,004053,Castelmagno,,0,29850.0864545,49167964.0041
1,1,4,0,4,4054,004054,Castelnuovo di Ceva,,0,11031.1903216,6314900.69209
1,1,4,0,4,4055,004055,Castiglione Falletto,,0,9229.15026853,4595134.49168
1,1,4,0,4,4056,004056,Castiglione Tinella,,0,16998.7546252,11641386.0626
1,1,4,0,4,4057,004057,Castino,,0,19384.5649058,15565283.0522
1,1,4,0,4,4060,004060,Celle di Macra,,0,26050.7226527,31646366.4325
1,1,4,0,4,4063,004063,Cerretto Langhe,,0,15189.1375686,9813197.36328
1,1,4,0,4,4069,004069,Cigliè,,0,13517.5576738,5927329.86098
1,1,4,0,4,4070,004070,Cissone,,0,10191.9513631,6131690.93969
1,1,4,0,4,4071,004071,Clavesana,,0,22458.6784651,16727323.7434
1,1,4,0,4,4074,004074,Cossano Belbo,,0,18191.1284695,20752167.1647
1,1,4,0,4,4076,004076,Cravanzana,,0,12183.37296,8381374.02412
1,1,1,201,201,1010,001010,Andrate,,0,18344.8061596,9110445.21818
1,1,1,201,201,1017,001017,Baldissero Canavese,,0,9149.58585143,4514853.76229
1,1,1,201,201,1019,001019,Balme,,0,35564.940426,62888138.6794
1,1,1,201,201,1029,001029,Borgiallo,,0,16253.5714951,6965586.71726
1,1,1,201,201,1036,001036,Brosso,,0,17622.8127962,11156592.4665
1,1,1,201,201,1037,001037,Brozolo,,0,12998.6611477,9057895.54385
1,1,1,201,201,1052,001052,Canischio,,0,15166.8725625,12225019.425
1,1,1,201,201,1067,001067,Castelnuovo Nigra,,0,40078.5262584,28402118.5743
1,1,1,201,201,1073,001073,Ceresole Reale,,0,48786.4103933,100297692.932
1,1,1,201,201,1075,001075,Chialamberto,,0,26748.2700139,35527174.3741
1,1,1,201,201,1079,001079,Chiesanuova,,0,9072.59148061,4410460.56538
1,1,1,201,201,1083,001083,Ciconio,,0,7149.19830462,3242783.08849
1,1,1,201,201,1084,001084,Cintano,,0,22234.0749718,4805131.75422
1,1,1,201,201,1085,001085,Cinzano,,0,10468.1547449,6388678.32228
1,1,1,201,201,1091,001091,Colleretto Castelnuovo,,0,15990.0502715,6239964.3394
1,1,1,201,201,1095,001095,Cossano Canavese,,0,9120.71769643,2953645.20164
1,1,1,201,201,1096,001096,Cuceglio,,0,11745.8851166,6851959.74506
1,1,1,201,201,1100,001100,Exilles,,0,32204.6758815,46513834.7333
1,1,1,201,201,1108,001108,Frassinetto,,0,24641.0332646,24945107.9057
1,1,1,201,201,1111,001111,Garzigliana,,0,11446.549767,6977948.78498
1,1,1,201,201,1118,001118,Groscavallo,,0,44417.9720083,92209898.8875
1,1,1,201,201,1121,001121,Ingria,,0,22290.1303164,15153879.0577
1,1,1,201,201,1124,001124,Issiglio,,0,11492.3541821,5585644.35296
1,1,1,201,201,1131,001131,Lemie,,0,30618.9767647,45420673.8078
1,1,1,201,201,1141,001141,Lusigliè,,0,10906.9404903,4968531.44799
1,1,1,201,201,1145,001145,Massello,,0,27602.184136,37731621.6329
1,1,1,201,201,1153,001153,Mombello di Torino,,0,11407.1355644,4020491.24436
1,1,1,201,201,1155,001155,Monastero di Lanzo,,0,23517.1214117,17526582.957
1,1,1,201,201,1157,001157,Moncenisio,,0,10180.7215671,4484865.89333
1,1,1,201,201,1165,001165,Noasca,,0,37707.1735065,78364165.5944
1,1,1,201,201,1167,001167,Nomaglio,,0,6777.5100595,2967066.34036
